hostname,ip,protocols,is_active,model,comment,created_by,admin_user,admin_user_display,platform,nodes,org_id,org_name
xmentesx02,192.168.0.143,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ESXi-192.168.3.172,192.168.59.21,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
weaverser06,192.168.69.111,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.0.125,192.168.59.18,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-302,192.168.59.19,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
SoexVcenterMaster,192.168.59.30,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstorarac02,192.168.59.32,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmpritdns01,192.168.59.35,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmproafs03,192.168.69.17,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.171,192.168.69.12,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
ctentesx03,192.168.69.14,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstorarac01,192.168.59.13,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-301,192.168.69.19,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmprmesfs02,192.168.69.13,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
192.168.3.121,192.168.69.16,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmproafs02,192.168.59.20,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
XM-IT-BladeChasis-M1000e-A1,192.168.69.15,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmentesx06,192.168.69.1,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi-192.168.3.123,192.168.69.10,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
oldoa-oracle-dg,192.168.59.22,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmproalb02.solex-server.com,192.168.0.15,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-402,192.168.0.156,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstitsd01,192.168.2.31,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
dell r730,192.168.5.136,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
esxi67-305,192.168.0.28,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
xmtstitutil01,192.168.5.21,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
weaver-esolex-a,192.168.0.104,"ssh/22,",TRUE,,bulk imported,,7147f165-1f38-424c-98a1-9eeca04f5a2b,root for linux (General),Linux,"a63ba963-794f-440f-8bc7-2053e6857e95,761df28c-224b-4ff5-bfd1-f9da8de47aeb",,DEFAULT
