hostname,ip,protocols,is_active,model,comment,created_by,admin_user,admin_user_display,platform,nodes,org_id,org_name
192.168.100.3,192.168.100.3,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.4,192.168.100.4,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.5,192.168.100.5,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.6,192.168.100.6,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.8,192.168.100.8,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.9,192.168.100.9,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.12,192.168.100.12,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.13,192.168.100.13,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.14,192.168.100.14,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.15,192.168.100.15,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.17,192.168.100.17,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.18,192.168.100.18,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.19,192.168.100.19,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.20,192.168.100.20,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.21,192.168.100.21,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.22,192.168.100.22,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.23,192.168.100.23,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.24,192.168.100.24,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.25,192.168.100.25,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.26,192.168.100.26,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
192.168.100.27,192.168.100.27,"ssh/22,",TRUE,,bulk imported,,111f0225-8efc-44e4-8177-28d2b1306c3d,Root for Network Appliance,Switch,"21274c18-63cd-40c1-8d07-2b68927034b1,43a0aa7e-fb3e-418e-9c6b-bd56c9467fee",,DEFAULT
